#Tmin      Tmax       Flux         FluxErr      TS
239557417  246913295  6.33937e-09  2.88474e-09  19.5819
246913295  254269173  1.2872e-08   4.06966e-09  23.4898
254269173  261625051  1.45239e-08  3.96604e-09  51.1671
261625051  268980929  1.06913e-08  3.41809e-09  40.6503
268980929  276336806  6.34326e-09  2.6507e-09   28.3105
276336806  283692684  1.98627e-08  4.66186e-09  82.3065
283692684  291048562  9.8417e-09   4.32322e-09  12.5877
291048562  298404440  5.28196e-09  2.52574e-09  22.7763
298404440  305760318  8.6325e-09   3.08717e-09  28.2414
305760318  313116196  2.65336e-09  1.96111e-09  11.6673
313116196  320472074  9.38626e-09  1.44737e-09  16.3899
320472074  327827952  1.26653e-08  7.5555e-09   15.9079
327827952  335183829  1.47419e-08  1.83739e-09  28.5742
335183829  342539707  1.11518e-08  3.61923e-09  52.2912
342539707  349895585  1.18614e-08  4.43376e-09  25.0989
349895585  357251463  3.29597e-09  3.27446e-09  11.6717
357251463  364607341  4.52712e-09  3.26727e-09  5.80051
364607341  371963219  1.64269e-08  6.10504e-09  12.5137
371963219  379319097  1.44335e-08  3.88564e-09  43.1233
379319097  386674975  1.72208e-08  4.68118e-09  47.8887
386674975  394030852  1.05799e-08  4.07005e-09  39.3677
394030852  401386730  9.22073e-09  4.75447e-09  7.89552
401386730  408742608  2.22042e-08  5.37296e-09  57.6187
408742608  416098486  9.93912e-09  3.87183e-09  63.3272
416098486  423454364  1.08147e-08  4.32496e-09  22.5063
