#Emin     Emax     Flux         FluxErr      TS
0.2       0.399    2.84355e-09  9.96282e-10  10.2222
0.399     0.796    2.3152e-09   3.31735e-10  67.8719
0.796     1.589    1.2442e-09   1.4409e-10   138.708
1.589     3.17     4.68551e-10  6.86176e-11  124.027
3.17      6.325    2.62708e-10  3.77079e-11  134.59
6.325     12.619   8.78697e-11  1.95212e-11  65.8601
12.619    25.178   4.07914e-11  1.5708e-11   38.1253
25.178    50.237   6.30638e-12  1.28091e-12  5.62373
50.237    100.236  1.26951e-11  9.90711e-12  11.6395
#100.236  199.998  5.588e-12    8.71269e-13  3.37174
100.236   199.998  2.31e-11     0            -1e9
